交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
40,2025-02-24,2025-03-07,2025-03-07,空头,-1.0,1.0,10,13.690000000000996,-13.690000000000996,27.380000000001992,是,是,已平仓
41,2025-03-17,2025-03-21,2025-03-21,空头,-1.0,1.0,5,-0.28000000000000225,0.28000000000000225,-0.5600000000000045,否,是,已平仓
42,2025-04-28,2025-04-30,2025-04-30,多头,1.0,1.0,3,5.04000000000001,5.04000000000001,0.0,是,是,已平仓
43,2025-05-12,2025-05-16,2025-05-16,多头,1.0,1.0,5,-2.5000000000000027,-2.5000000000000027,0.0,否,是,已平仓
44,2025-05-26,2025-05-30,2025-05-30,多头,1.0,1.0,5,-1.2000000000000204,-1.2000000000000204,0.0,否,是,已平仓
45,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000102,1.7100000000000102,0.0,是,是,已平仓
46,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,2.7500000000000098,0.0,是,是,已平仓
47,2025-07-21,2025-07-25,2025-07-25,空头,-1.0,1.0,5,6.11999999999998,-6.11999999999998,12.23999999999996,是,是,已平仓
48,2025-08-18,2025-08-29,2025-08-29,空头,-1.0,1.0,10,16.829999999999,-16.829999999999,33.659999999998,是,是,已平仓
49,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.479999999999023,0.479999999999023,0.0,是,是,已平仓
50,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009895,-0.9200000000009895,0.0,否,是,已平仓
51,2025-11-03,2025-11-14,2025-11-14,多头,1.0,1.0,10,3.6399999999999975,3.6399999999999975,0.0,是,是,已平仓
52,2025-11-24,2025-11-28,2025-11-28,空头,-1.0,1.0,5,4.930000000000004,-4.930000000000004,9.860000000000008,是,是,已平仓
53,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-2.109999999999994,0.0,否,是,已平仓
54,2026-03-02,2026-03-06,2026-03-06,空头,-1.0,1.0,5,-0.9199999999990118,0.9199999999990118,-1.8399999999980237,否,是,已平仓
55,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-0.09999999999999609,0.0,否,是,已平仓
56,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000103,0.6000000000000103,0.0,是,是,已平仓
57,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.7400000000000053,0.0,是,是,已平仓
58,2026-06-15,2026-06-18,2026-06-18,空头,-1.0,1.0,4,0.010000000000010001,-0.010000000000010001,0.020000000000020002,是,是,已平仓
