实验编号,实验阶段,调整模块,候选参数,供给低分位,供给高分位,需求低分位,需求高分位,地方债国债利差低分位,地方债国债利差高分位,地方债NCD利差低分位,地方债NCD利差高分位,利差周变化阈值_BP,看空总分阈值,看空最少利空模块数,看空要求供给或需求利空,看空连续确认周期数,目标函数,策略累计收益率,基准累计收益率,累计超额收益率,策略年化收益率,策略夏普比率,策略最大回撤,累计资本利得_BP,基准累计资本利得_BP,资本利得超额_BP,资本利得交易胜率,开仓交易总数,已平仓交易数,平均单笔资本利得_BP,平均每笔盈利_BP,最佳交易_BP,最差交易_BP,资本利得最大回撤_BP,未平仓交易数,未平仓浮动资本利得_BP,调仓周期胜率,看空信号数,相对基线变化信号数,策略Carry贡献,策略资本利得贡献,最新总分,最新仓位
看空<35_至少2个模块且包含供需利空,看空触发条件,总分与确认规则,至少2个模块且包含供需利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,35.0,2,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,185,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<35_连续2天看空,看空触发条件,总分与确认规则,连续2天看空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,35.0,0,0,2,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,154,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<40_仅总分,看空触发条件,总分与确认规则,仅总分,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,40.0,0,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,266,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<40_至少2个模块利空,看空触发条件,总分与确认规则,至少2个模块利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,40.0,2,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,247,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<40_必须包含供给或需求利空,看空触发条件,总分与确认规则,必须包含供给或需求利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,40.0,0,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,229,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<40_至少2个模块且包含供需利空,看空触发条件,总分与确认规则,至少2个模块且包含供需利空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,40.0,2,1,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,225,9,0.020587992063492055,0.08895378139610073,87.5,1.0
看空<40_连续2天看空,看空触发条件,总分与确认规则,连续2天看空,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,40.0,0,0,2,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,206,9,0.020587992063492055,0.08895378139610073,87.5,1.0
35/65_x_±1BP,关键模块交叉,供给分位阈值 × 利差周变化阈值,x_±1BP,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,15.0,0,0,1,178.46979310344284,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859574,-0.0071209204820145144,100.52999999999889,50.11000000000299,50.4199999999959,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,47,9,0.020587992063492055,0.08895378139610073,87.5,1.0
单模块最优阈值组合,组合基线,全部,单模块最优阈值组合,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.0,30.0,0,0,1,178.4697931034428,0.11452220351289899,0.06557029370019918,0.04895190981269981,0.03326378497210314,1.7311166716859594,-0.0071209204820145144,100.52999999999889,50.11000000000301,50.41999999999588,0.7413793103448276,59,58,1.7418965517241192,2.9816279069767213,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.15468940316686966,151,9,0.020587992063492048,0.08895378139610077,87.5,1.0
银行需求分位阈值_35/65,单模块敏感性,银行需求分位阈值,35/65,35.0,65.0,35.0,65.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,174.13542857141874,0.1123303363771353,0.06546608419286937,0.04686425218426593,0.03265009479510028,1.684785042699075,-0.0071209204820145144,98.7199999999969,50.37000000000301,48.34999999999389,0.7321428571428571,57,56,1.7717857142856597,3.082926829268221,15.530000000000022,-5.4700000000009945,-12.299999999998983,1,-0.5000000000000143,0.1510353227771011,153,5,0.02025431746031745,0.08731648089531313,87.5,1.0
35/65_x_±1.5BP,关键模块交叉,供给分位阈值 × 利差周变化阈值,x_±1.5BP,35.0,65.0,35.0,65.0,30.0,70.0,25.0,75.0,1.5,15.0,0,0,1,173.71222222221547,0.11425753304966291,0.06833495388056399,0.04592257916909892,0.033189725939730685,1.69994010603066,-0.007120920482015181,99.54999999999788,52.52000000000207,47.02999999999581,0.7222222222222222,55,54,1.8527777777777383,3.3017948717948196,15.530000000000022,-5.4700000000009945,-12.819999999999988,1,-0.5000000000000143,0.15712545676004872,48,18,0.021158833333333328,0.08815137780931324,87.5,1.0
银行需求分位阈值_15/85,单模块敏感性,银行需求分位阈值,15/85,35.0,65.0,15.0,85.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,173.07599999999758,0.10306769851335296,0.04782202311626582,0.055245675397087135,0.030047330677249517,1.570961703929285,-0.005768900595631399,90.07999999999984,32.60000000000207,57.47999999999777,0.75,57,56,1.6174999999999982,2.767619047619001,15.530000000000022,-5.4700000000009945,-9.449999999997999,1,-0.5000000000000143,0.14981729598051158,153,6,0.019615865079365073,0.07956174800692588,87.5,1.0
地方债国债利差阈值_30/70,单模块敏感性,地方债国债利差阈值,30/70,35.0,65.0,25.0,75.0,30.0,70.0,25.0,75.0,1.0,30.0,0,0,1,170.1157931034381,0.10480533647668056,0.05371528594380792,0.05109005053287263,0.030536759667264546,1.6149049617175064,-0.005768900595631399,91.40999999999586,38.40000000000106,53.009999999994804,0.7413793103448276,59,58,1.5846551724137228,2.7483720930231637,15.530000000000022,-5.4700000000009945,-9.809999999998984,1,-0.5000000000000143,0.15225334957369063,154,2,0.020004138888888884,0.08074855030962519,87.5,1.0
地方债国债利差阈值_35/65,单模块敏感性,地方债国债利差阈值,35/65,35.0,65.0,25.0,75.0,35.0,65.0,25.0,75.0,1.0,30.0,0,0,1,170.1157931034381,0.10480533647668056,0.05371528594380792,0.05109005053287263,0.030536759667264546,1.6149049617175064,-0.005768900595631399,91.40999999999586,38.40000000000106,53.009999999994804,0.7413793103448276,59,58,1.5846551724137228,2.7483720930231637,15.530000000000022,-5.4700000000009945,-9.809999999998984,1,-0.5000000000000143,0.15225334957369063,155,2,0.020004138888888884,0.08074855030962519,87.5,1.0
银行需求分位阈值_20/80,单模块敏感性,银行需求分位阈值,20/80,35.0,65.0,20.0,80.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,169.95185964911917,0.10382193374126225,0.052408909194996856,0.051413024546265396,0.030259837194025696,1.5892986521178272,-0.005768900595631399,90.83999999999884,37.44000000000108,53.39999999999776,0.7543859649122807,58,57,1.6024561403508577,2.7209302325580706,15.530000000000022,-5.4700000000009945,-9.449999999997999,1,-0.5000000000000143,0.14981729598051158,152,4,0.01962566666666666,0.08023609202097834,87.5,1.0
地方债国债利差阈值_15/85,单模块敏感性,地方债国债利差阈值,15/85,35.0,65.0,25.0,75.0,15.0,85.0,25.0,75.0,1.0,30.0,0,0,1,167.428857142845,0.10338959247147628,0.052801694551902534,0.05058789791957374,0.030138037021957054,1.562567419104183,-0.007120920482015292,89.7799999999959,37.230000000003095,52.5499999999928,0.7142857142857143,57,56,1.612142857142785,2.971499999999901,15.530000000000022,-5.4700000000009945,-12.299999999998978,1,-0.5000000000000143,0.15225334957369063,153,5,0.020222940476190474,0.07925033086724294,87.5,1.0
银行需求分位阈值_30/70,单模块敏感性,银行需求分位阈值,30/70,35.0,65.0,30.0,70.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,166.86442105262057,0.10373671219885594,0.05469782685038882,0.04903888534846712,0.030235831022125126,1.5881912086064613,-0.005562199127996603,90.47999999999593,39.560000000002056,50.91999999999387,0.7368421052631579,58,57,1.596140350877122,2.7916666666665733,15.530000000000022,-5.4700000000009945,-9.809999999998988,1,-0.5000000000000143,0.1510353227771011,153,1,0.019982420634920627,0.07980184997404303,87.5,1.0
阈值原始基线,基线,全部,阈值原始基线,35.0,65.0,25.0,75.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,165.04842105262148,0.10193731842478182,0.052673549253844376,0.049263769170937444,0.029728654934028986,1.5436709886106839,-0.005768900595631399,88.6999999999959,37.46000000000106,51.239999999994836,0.7368421052631579,58,57,1.5649122807016833,2.7492857142856204,15.530000000000022,-5.4700000000009945,-9.809999999998984,1,-0.5000000000000143,0.14981729598051158,156,0,0.01985861904761904,0.07829271496505488,87.5,1.0
供给分位阈值_35/65,单模块敏感性,供给分位阈值,35/65,35.0,65.0,25.0,75.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,165.04842105262148,0.10193731842478182,0.052673549253844376,0.049263769170937444,0.029728654934028986,1.5436709886106839,-0.005768900595631399,88.6999999999959,37.46000000000106,51.239999999994836,0.7368421052631579,58,57,1.5649122807016833,2.7492857142856204,15.530000000000022,-5.4700000000009945,-9.809999999998984,1,-0.5000000000000143,0.14981729598051158,156,0,0.01985861904761904,0.07829271496505488,87.5,1.0
银行需求分位阈值_25/75,单模块敏感性,银行需求分位阈值,25/75,35.0,65.0,25.0,75.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,165.04842105262148,0.10193731842478182,0.052673549253844376,0.049263769170937444,0.029728654934028986,1.5436709886106839,-0.005768900595631399,88.6999999999959,37.46000000000106,51.239999999994836,0.7368421052631579,58,57,1.5649122807016833,2.7492857142856204,15.530000000000022,-5.4700000000009945,-9.809999999998984,1,-0.5000000000000143,0.14981729598051158,156,0,0.01985861904761904,0.07829271496505488,87.5,1.0
地方债国债利差阈值_25/75,单模块敏感性,地方债国债利差阈值,25/75,35.0,65.0,25.0,75.0,25.0,75.0,25.0,75.0,1.0,30.0,0,0,1,165.04842105262148,0.10193731842478182,0.052673549253844376,0.049263769170937444,0.029728654934028986,1.5436709886106839,-0.005768900595631399,88.6999999999959,37.46000000000106,51.239999999994836,0.7368421052631579,58,57,1.5649122807016833,2.7492857142856204,15.530000000000022,-5.4700000000009945,-9.809999999998984,1,-0.5000000000000143,0.14981729598051158,156,0,0.01985861904761904,0.07829271496505488,87.5,1.0
