信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,情绪|非银情绪_得分,情绪|非银情绪变化_得分
2022-04-13,2022-04-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-14,2022-04-15,1.0,看多,0.0023528315399639066,-0.00010620984302400771,0.0024590413829879143,0.0001242103174603,0.0022286212225036,2.6300000000000283,-0.2500000000000071,2.8800000000000354,是,其他,否,否,其他,0.0,100.0
2022-04-15,2022-04-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-18,2022-04-19,1.0,看多,0.0002163081795765187,-0.00445933357650885,0.004675641756085369,0.0001229444444444,9.336373513205784e-05,0.1100000000000059,-5.290000000000017,5.400000000000023,是,其他,否,否,其他,0.0,100.0
2022-04-19,2022-04-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-20,2022-04-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-21,2022-04-22,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-22,2022-04-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-25,2022-04-26,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-04-26,2022-04-27,1.0,看多,5.664383546855056e-05,-0.0007493405889440474,0.000805984424412598,0.0001244166666666,-6.777283119816722e-05,-0.0800000000000106,-1.000000000001,0.9200000000009895,否,其他,否,否,其他,0.0,100.0
2022-04-27,2022-04-28,1.0,看多,0.0005988389279409922,-0.0011874315842380634,0.0017862705121790556,0.0001244484126984,0.0004743905152424,0.5600000000000049,-1.5099999999999836,2.0699999999999887,是,其他,否,否,其他,0.0,100.0
2022-04-28,2022-04-29,1.0,看多,0.0020223288377518855,-0.0005322426410009351,0.0025545714787528206,0.0001242261904761,0.0018981026472757,2.2400000000009914,-0.7499999999990153,2.990000000000007,是,其他,否,否,其他,0.0,100.0
2022-04-29,2022-05-05,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-05,2022-05-06,1.0,看多,0.0025390149791693073,0.0010071362195893663,0.001531878759579941,0.0001243253968253,0.0024146895823439,2.849999999999971,1.0400000000010057,1.809999999998965,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-05-06,2022-05-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-09,2022-05-10,1.0,看多,0.0005724341975172909,0.0011362941426800166,-0.0005638599451627258,0.0001221071428571,0.0004503270546602,0.5300000000000096,1.1900000000000106,-0.660000000000001,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-05-10,2022-05-11,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-11,2022-05-12,1.0,看多,0.0007592083962817409,-0.0011892499323417072,0.001948458328623448,0.0001212579365079,0.0006379504597739,0.7499999999990153,-1.509999999999012,2.259999999998027,是,其他,否,否,其他,0.0,100.0
2022-05-12,2022-05-13,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-13,2022-05-16,1.0,看多,0.002785705865500976,-0.0006209884261082488,0.0034066942916092247,0.0001239166666666,0.0026617891988343,3.140000000000018,-0.8499999999999828,3.9900000000000007,是,其他,否,否,其他,0.0,100.0
2022-05-16,2022-05-17,1.0,看多,0.0014472033849732835,-0.0005428262725929445,0.001990029657566228,0.0001226706349206,0.0013245327500527,1.559999999999999,-0.7600000000000315,2.3200000000000305,是,其他,否,否,其他,0.0,100.0
2022-05-17,2022-05-18,1.0,看多,0.0009123044695844573,0.00043908724646413155,0.00047321722312032577,0.0001220515873015,0.0007902528822829,0.9300000000009996,0.3799999999999984,0.5500000000010012,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-05-18,2022-05-19,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-19,2022-05-20,1.0,看多,0.000418732905731245,0.00034324331217838733,7.548959355285767e-05,0.0001208769841269,0.0002978559216042,0.3499999999999684,0.2699999999999924,0.07999999999997598,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-05-20,2022-05-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-23,2022-05-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-24,2022-05-25,1.0,看多,0.0009633632312628926,0.0003256293480773387,0.0006377338831855539,0.0001211269841269,0.000842236247136,0.989999999999984,0.2500000000000071,0.7399999999999769,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-05-25,2022-05-26,1.0,看多,-0.00029634069776185434,0.0007572290694641826,-0.001053569767226037,0.0001207341269841,-0.0004170748247461,-0.4900000000000043,0.7500000000000215,-1.240000000000026,否,其他,是,是,其他,0.0,100.0
2022-05-26,2022-05-27,1.0,看多,0.002188762650518594,0.004211880589958472,-0.002023117939439878,0.0001209285714285,0.0020678340790899,2.430000000001008,4.749999999999997,-2.3199999999989895,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-05-27,2022-05-30,1.0,看多,-0.000945055154799701,0.0011984288867843418,-0.002143484041584043,0.0001199642857142,-0.001065019440514,-1.2500000000010072,1.2599999999999765,-2.510000000000984,否,其他,是,是,其他,0.0,100.0
2022-05-30,2022-05-31,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-05-31,2022-06-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-01,2022-06-02,1.0,看多,-0.0009175488795956088,-0.0009715867153772262,5.403783578161736e-05,0.0001207976190476,-0.0010383464986432,-1.2199999999989997,-1.250000000000001,0.030000000001001448,否,其他,否,是,其他,0.0,100.0
2022-06-02,2022-06-06,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-06,2022-06-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-07,2022-06-08,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-08,2022-06-09,1.0,看多,-0.0017993931326959478,-0.000624691362281049,-0.0011747017704148988,0.00012175,-0.001921143132696,-2.260000000000005,-0.8499999999990113,-1.4100000000009938,否,该空没空,否,是,该空没空,0.0,100.0
2022-06-09,2022-06-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-10,2022-06-13,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-13,2022-06-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-14,2022-06-15,1.0,看多,0.0001392714118648719,-0.0003219366409773494,0.00046120805284222133,0.0001222817460317,1.6989665833181226e-05,0.0199999999999853,-0.5000000000000143,0.5199999999999996,是,其他,否,否,其他,0.0,100.0
2022-06-15,2022-06-16,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-16,2022-06-17,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-17,2022-06-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-20,2022-06-21,1.0,看多,0.0001904504976910637,-0.0007613925147421652,0.0009518430124332289,0.0001225119047619,6.793859292913466e-05,0.0799999999990044,-1.010000000000004,1.0899999999990084,是,其他,否,否,其他,0.0,100.0
2022-06-21,2022-06-22,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
