日期,信号日期,总分,结论,仓位,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2025-04-10,2025-04-07,52.5,中性,0.0,-0.0,-0.0024421554928935876,0.0,-0.0,7.580158730158691e-05,-0.0025179570801951746,-7.580158730158691e-05,0.0025179570801951746,-0.0,-25.179570801951748,25.179570801951748,99.29714811665147,-133.72290905876793,233.0200571754194,0.00032385714285714244,0.009929714811665147,0.004342658730158727,-0.013372290905876804,1.0102857377305534,0.9909015490929768,1.0195621741184278
2025-04-11,2025-04-07,52.5,中性,0.0,0.0,0.0015277998833460303,0.0,0.0,7.690873015873015e-05,0.0014508911531873,-7.690873015873015e-05,-0.0014508911531873,0.0,14.508911531873,-14.508911531873,99.29714811665147,-119.21399752689493,218.5111456435464,0.00032385714285714244,0.009929714811665147,0.004419567460317457,-0.011921399752689504,1.0102857377305534,0.9924154483640885,1.0180068633513542
2025-04-14,2025-04-14,75.0,看多,1.0,0.00011234725707724653,0.00011234725707724653,7.626984126984128e-05,3.607741580740526e-05,7.626984126984128e-05,3.607741580740526e-05,0.0,0.0,0.3607741580740526,0.3607741580740526,0.0,99.65792227472552,-118.85322336882088,218.5111456435464,0.00040012698412698373,0.009965792227472552,0.0044958373015872985,-0.011885322336882099,1.0103992405620517,0.9925269435175932,1.0180068633513542
2025-04-15,2025-04-14,75.0,看多,1.0,-0.0003025668412171154,-0.0003025668412171154,7.625396825396826e-05,-0.0003788208094710836,7.625396825396826e-05,-0.0003788208094710836,0.0,0.0,-3.788208094710836,-3.788208094710836,0.0,95.86971418001468,-122.64143146353172,218.5111456435464,0.000476380952380952,0.009586971418001468,0.004572091269841267,-0.012264143146353183,1.0100935272554667,0.9922266377754702,1.0180068633513544
2025-04-16,2025-04-14,75.0,看多,1.0,0.0013659313575838928,0.0013659313575838928,7.642063492063492e-05,0.0012895107226632578,7.642063492063492e-05,0.0012895107226632578,0.0,0.0,12.895107226632579,12.895107226632579,0.0,108.76482140664726,-109.74632423689914,218.5111456435464,0.0005528015873015869,0.010876482140664726,0.004648511904761902,-0.010974632423689925,1.0114732456784374,0.9935819512538376,1.0180068633513544
2025-04-17,2025-04-14,75.0,看多,1.0,-0.00043853309818842723,-0.00043853309818842723,7.58531746031746e-05,-0.0005143862727916018,7.58531746031746e-05,-0.0005143862727916018,0.0,0.0,-5.1438627279160185,-5.1438627279160185,0.0,103.62095867873124,-114.89018696481516,218.5111456435464,0.0006286547619047615,0.010362095867873124,0.0047243650793650765,-0.011489018696481527,1.0110296811822754,0.9931462326824502,1.0180068633513544
2025-04-18,2025-04-14,75.0,看多,1.0,0.0002925983388638605,0.0002925983388638605,7.607936507936508e-05,0.0002165189737844954,7.607936507936508e-05,0.0002165189737844954,0.0,0.0,2.1651897378449543,2.1651897378449543,0.0,105.7861484165762,-112.7249972269702,218.5111456435464,0.0007047341269841266,0.010578614841657619,0.004800444444444441,-0.011272499722697032,1.0113255067875315,0.993436825620382,1.0180068633513544
2025-04-21,2025-04-21,77.5,看多,1.0,5.7938608580637246e-05,5.7938608580637246e-05,7.598412698412697e-05,-1.8045518403489726e-05,7.598412698412697e-05,-1.8045518403489726e-05,0.0,0.0,-0.18045518403489727,-0.18045518403489727,0.0,105.6056932325413,-112.9054524110051,218.5111456435464,0.0007807182539682536,0.010560569323254129,0.004876428571428568,-0.011290545241100522,1.011384101580217,0.9934943839677712,1.0180068633513544
2025-04-22,2025-04-21,77.5,看多,1.0,0.0018985703098331507,0.0018985703098331507,7.59920634920635e-05,0.0018225782463410871,7.59920634920635e-05,0.0018225782463410871,0.0,0.0,18.22578246341087,18.22578246341087,0.0,123.83147569595216,-94.67966994759423,218.5111456435464,0.000856710317460317,0.012383147569595215,0.004952420634920632,-0.009467966994759436,1.0133042854073144,0.9953806029081583,1.0180068633513546
2025-04-23,2025-04-21,77.5,看多,1.0,0.0001564805298882598,0.0001564805298882598,7.519047619047619e-05,8.129005369778364e-05,7.519047619047619e-05,8.129005369778364e-05,0.0,0.0,0.8129005369778364,0.8129005369778364,0.0,124.64437623293,-93.8667694106164,218.5111456435464,0.0009319007936507932,0.012464437623292999,0.005027611111111108,-0.009386676941061652,1.0134628477988332,0.995536360592342,1.0180068633513546
2025-04-24,2025-04-21,77.5,看多,1.0,0.00035516705567012794,0.00035516705567012794,7.515476190476151e-05,0.0002800122937653664,7.515476190476151e-05,0.0002800122937653664,0.0,0.0,2.800122937653664,2.800122937653664,0.0,127.44449917058367,-91.06664647296273,218.5111456435464,0.0010070555555555547,0.012744449917058365,0.005102765873015869,-0.009106664647296286,1.013822796414517,0.995889942310346,1.0180068633513548
2025-04-25,2025-04-21,77.5,看多,1.0,-0.0007922441335046426,-0.0007922441335046426,7.503174603174603e-05,-0.0008672758795363886,7.503174603174603e-05,-0.0008672758795363886,0.0,0.0,-8.672758795363887,-8.672758795363887,0.0,118.77174037521978,-99.73940526832662,218.5111456435464,0.0010820873015873007,0.011877174037521976,0.005177797619047615,-0.009973940526832675,1.0130196012516444,0.9951009543459344,1.0180068633513548
2025-04-28,2025-04-28,65.0,中性,0.0,0.0,0.00046368444039349274,0.0,0.0,7.541269841269842e-05,0.00038827174198079433,-7.541269841269842e-05,-0.00038827174198079433,0.0,3.8827174198079435,-3.8827174198079435,118.77174037521978,-95.85668784851867,214.62842822373847,0.0010820873015873007,0.011877174037521976,0.005253210317460314,-0.009585668784851882,1.0130196012516444,0.9955623671750854,1.0175350481819576
2025-04-29,2025-04-28,65.0,中性,0.0,0.0,0.003371780538019815,0.0,0.0,7.524206349206349e-05,0.003296538474527751,-7.524206349206349e-05,-0.003296538474527751,0.0,32.96538474527751,-32.96538474527751,118.77174037521978,-62.891303103241164,181.66304347846096,0.0010820873015873007,0.011877174037521976,0.005328452380952377,-0.0062891303103241305,1.0130196012516444,0.9989191849891113,1.014115672693469
2025-04-30,2025-04-28,65.0,中性,0.0,0.0,0.0009424908586046372,0.0,0.0,7.37936507936504e-05,0.0008686972078109868,-7.37936507936504e-05,-0.0008686972078109868,0.0,8.686972078109868,-8.686972078109868,118.77174037521978,-54.204331025131296,172.9760714003511,0.0010820873015873007,0.011877174037521976,0.005402246031746028,-0.0054204331025131435,1.0130196012516444,0.9998606571894483,1.013160777921981
2025-05-06,2025-05-05,70.0,看多,1.0,0.0014314364966031186,0.0014314364966031186,7.341269841269841e-05,0.00135802379819042,7.341269841269841e-05,0.00135802379819042,0.0,0.0,13.580237981904201,13.580237981904201,0.0,132.35197835712398,-40.62409304322709,172.9760714003511,0.0011554999999999992,0.013235197835712396,0.0054756587301587265,-0.004062409304322724,1.0144696744806503,1.0012918942256668,1.013160777921981
2025-05-07,2025-05-05,70.0,看多,1.0,-0.0015127924509875507,-0.0015127924509875507,7.281746031745992e-05,-0.0015856099113050106,7.281746031745992e-05,-0.0015856099113050106,0.0,0.0,-15.856099113050107,-15.856099113050107,0.0,116.49587924407388,-56.4801921562772,172.9760714003511,0.001228317460317459,0.011649587924407385,0.005548476190476186,-0.005648019215627734,1.0129349924153401,0.9997771474068472,1.0131607779219807
2025-05-08,2025-05-05,70.0,看多,1.0,0.0012050498357256867,0.0012050498357256867,7.351190476190475e-05,0.001131537930963782,7.351190476190475e-05,0.001131537930963782,0.0,0.0,11.31537930963782,11.31537930963782,0.0,127.8112585537117,-45.16481284663938,172.9760714003511,0.0013018293650793639,0.012781125855371167,0.0056219880952380905,-0.004516481284663952,1.014155629561551,1.0009819286940922,1.0131607779219807
2025-05-09,2025-05-05,70.0,看多,1.0,7.301587301587302e-05,7.301587301587302e-05,7.301587301587302e-05,-0.0,7.301587301587302e-05,-0.0,0.0,0.0,-0.0,-0.0,0.0,127.8112585537117,-45.16481284663938,172.9760714003511,0.0013748452380952369,0.012781125855371167,0.005695003968253964,-0.004516481284663952,1.0142296790202174,1.0010550162634888,1.0131607779219807
2025-05-12,2025-05-12,67.5,中性,0.0,-0.0,-0.0013219543884367426,0.0,-0.0,7.301587301587302e-05,-0.0013949702614526156,-7.301587301587302e-05,0.0013949702614526156,-0.0,-13.949702614526156,13.949702614526156,127.8112585537117,-59.11451546116554,186.92577401487725,0.0013748452380952369,0.012781125855371167,0.005768019841269837,-0.005911451546116568,1.0142296790202174,0.9997316671916727,1.0145019031649471
2025-05-13,2025-05-12,67.5,中性,0.0,-0.0,-0.0021347987230299474,0.0,-0.0,7.362698412698413e-05,-0.0022084257071569315,-7.362698412698413e-05,0.0022084257071569315,-0.0,-22.084257071569315,22.084257071569315,127.8112585537117,-81.19877253273485,209.01003108644656,0.0013748452380952369,0.012781125855371167,0.005841646825396821,-0.008119877253273499,1.0142296790202174,0.9975974413051794,1.0166722938796613
2025-05-14,2025-05-12,67.5,中性,0.0,0.0,0.0018643844695861262,0.0,0.0,7.459523809523809e-05,0.001789789231490888,-7.459523809523809e-05,-0.001789789231490888,0.0,17.89789231490888,-17.89789231490888,127.8112585537117,-63.30088021782597,191.11213877153767,0.0013748452380952369,0.012781125855371167,0.005916242063492059,-0.006330088021782611,1.0142296790202174,0.9994573464816475,1.0147803531492088
2025-05-15,2025-05-12,67.5,中性,0.0,0.0,0.0005262464841837522,0.0,0.0,7.38095238095238e-05,0.0004524369603742284,-7.38095238095238e-05,-0.0004524369603742284,0.0,4.524369603742284,-4.524369603742284,127.8112585537117,-58.77651061408368,186.5877691677954,0.0013748452380952369,0.012781125855371167,0.005990051587301583,-0.005877651061408382,1.0142296790202174,0.9999833073963251,1.0142466094368974
2025-05-16,2025-05-12,67.5,中性,0.0,-0.0,-0.0008315004026487937,0.0,-0.0,7.361111111111111e-05,-0.0009051115137599048,-7.361111111111111e-05,0.0009051115137599048,-0.0,-9.051115137599048,9.051115137599048,127.8112585537117,-67.82762575168273,195.63888430539444,0.0013748452380952369,0.012781125855371167,0.006063662698412694,-0.006782762575168287,1.0142296790202174,0.999151820873583,1.0150906577275227
2025-05-19,2025-05-19,47.5,中性,0.0,0.0,0.0005263261463655045,0.0,0.0,7.40079365079365e-05,0.00045231820985756796,-7.40079365079365e-05,-0.00045231820985756796,0.0,4.523182098575679,-4.523182098575679,127.8112585537117,-63.30444365310705,191.11570220681875,0.0013748452380952369,0.012781125855371167,0.00613767063492063,-0.0063304443653107185,1.0142296790202174,0.9996777006010975,1.014556670025119
2025-05-20,2025-05-19,47.5,中性,0.0,-0.0,-0.0003514812189422855,0.0,-0.0,7.38095238095238e-05,-0.00042529074275180926,-7.38095238095238e-05,0.00042529074275180926,-0.0,-4.2529074275180925,4.2529074275180925,127.8112585537117,-67.55735108062514,195.36860963433685,0.0013748452380952369,0.012781125855371167,0.006211480158730154,-0.006755735108062527,1.0142296790202174,0.9993263326643409,1.014913393021619
2025-05-21,2025-05-19,47.5,中性,0.0,0.0,0.001358599979147492,0.0,0.0,7.399603174603175e-05,0.0012846039474014603,-7.399603174603175e-05,-0.0012846039474014603,0.0,12.846039474014603,-12.846039474014603,127.8112585537117,-54.711311606610536,182.52257016032223,0.0013748452380952369,0.012781125855371167,0.006285476190476186,-0.005471131160661067,1.0142296790202174,1.00068401739906,1.013536402486336
