signal_date,总分_raw,总分,仓位,结论,供给|发行量_得分,供给|发行量_乘数,供给|发行占比_得分,供给|发行占比_乘数,供给|10Y以上发行_得分,供给|10Y以上发行_乘数,需求|银行总净买入_得分,需求|银行总净买入_乘数,估值|地方债-国债利差_得分,估值|地方债-国债利差_乘数,估值|地方债-国债利差变化_得分,估值|地方债-国债利差变化_乘数,估值|地方债-NCD利差_得分,估值|地方债-NCD利差_乘数,供给|发行量变化_得分,供给|发行量变化_乘数,需求|银行总净买入变化_得分,需求|银行总净买入变化_乘数,估值|地方债-NCD利差变化_得分,估值|地方债-NCD利差变化_乘数,估值|地方债-国债利差变化加速度_得分,估值|地方债-国债利差变化加速度_乘数,供需交互|供给×银行承接_得分,供需交互|供给×银行承接_乘数,供需交互|供给×非银承接_得分,供需交互|供给×非银承接_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-02-18,30.0,30.0,0.0,中性,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.5,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,5.0,1.0,0.0,0.0,0.0,0.0,2022-02-17,2022-02-17,2022-02-17,2022-02-17,2737.6422,0.6952491010991294,1556.0546,14.57,30.569999999999983,0.254981,62.06,1.4299999999999995,517.6598999999997,-9.009999999999998,-0.546552,-1.8699999999999972,-2.360000000000003
2022-02-21,5.0,5.0,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2022-02-20,2022-02-18,2022-02-18,2022-02-18,2558.1437,0.7617731486594808,1350.7526,2.369999999999999,28.29999999999999,0.311585,60.04999999999998,-2.2700000000000387,-179.4984999999997,-12.2,0.0566039999999999,-2.0100000000000198,-3.7000000000000384
2022-02-22,2.5,2.5,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,2022-02-21,2022-02-21,2022-02-21,2022-02-21,3271.1599,0.803495804721401,1767.8146,-7.640000000000001,27.51999999999999,0.2134799999999999,59.52000000000002,-1.0299999999999976,713.0162,-10.01,-0.0981050000000001,-0.5299999999999656,1.240000000000041
2022-02-23,32.5,32.5,0.0,中性,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,22.5,0.5,0.0,0.5,0.0,1.0,0.0,1.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.25,0.0,0.5,2022-02-22,2022-02-22,2022-02-22,2022-02-22,2280.8649,0.7403326578844787,1167.4751,-1.9800000000000004,30.7,0.2653129999999999,60.69999999999997,0.7400000000000091,-990.295,5.66,0.051833,1.17999999999995,1.770000000000007
2022-02-24,32.5,32.5,0.0,中性,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.25,0.0,0.5,2022-02-23,2022-02-23,2022-02-23,2022-02-23,2112.7549,0.9135230456111014,1142.8351,2.129999999999999,33.309999999999995,0.183154,60.31,1.8000000000000256,-168.11000000000013,4.109999999999999,-0.0821589999999999,-0.389999999999965,1.0600000000000165
2022-02-25,47.5,47.5,0.0,中性,5.0,0.5,0.0,0.0,15.0,0.5,0.0,0.5,22.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.25,0.0,0.5,2022-02-24,2022-02-24,2022-02-24,2022-02-24,1595.095,0.8885852837872081,783.6649999999997,1.0699999999999994,33.44999999999998,0.149219,59.20000000000001,2.8799999999999955,-517.6598999999999,-1.0599999999999996,-0.033935,-1.1099999999999923,1.07999999999997
2022-02-28,67.5,67.5,0.0,中性,5.0,0.5,2.5,0.5,15.0,0.5,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-27,2022-02-25,2022-02-25,2022-02-25,1237.22,0.6734196231262444,657.4399999999997,-6.820000000000001,34.920000000000016,-0.027697,59.42000000000003,6.620000000000026,-357.875,-7.890000000000001,-0.176916,0.2200000000000201,3.7400000000000304
2022-03-01,97.5,97.5,1.0,看多,10.0,1.0,5.0,1.0,30.0,1.0,0.0,0.5,45.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,5.0,1.0,0.0,0.5,2.5,0.5,0.0,0.5,0.0,1.0,2022-02-28,2022-02-28,2022-02-28,2022-02-28,0.0,0.0,0.0,1.3899999999999988,35.49000000000002,0.0403119999999999,59.99000000000003,7.970000000000034,-1237.22,8.21,0.0680089999999999,0.5700000000000003,1.3500000000000083
2022-03-02,57.5,57.5,0.0,中性,10.0,1.0,2.5,0.5,15.0,0.5,0.0,0.5,22.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,2.5,0.5,0.0,0.5,5.0,1.0,0.0,0.5,0.0,1.0,2022-03-01,2022-03-01,2022-03-01,2022-03-01,419.2269,0.4113185199487957,180.1299999999998,5.649999999999999,32.91999999999997,0.0601189999999999,59.66999999999998,2.219999999999977,419.2269,4.26,0.0198069999999999,-0.32000000000005,-5.750000000000057
2022-03-03,50.0,50.0,0.0,中性,5.0,0.5,5.0,1.0,15.0,0.5,0.0,0.5,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.25,0.0,0.5,2022-03-02,2022-03-02,2022-03-02,2022-03-02,705.3158,0.2550579575757675,274.1299999999998,-2.210000000000001,34.14999999999999,0.0814449999999999,61.39999999999999,0.8399999999999963,286.0889,-7.859999999999999,0.021326,1.730000000000011,-1.3799999999999808
