日期,信号日期,总分,结论,仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2024-11-20,2024-11-18,75.0,看多,1.0,2.2769,2.1025,-0.0005210538619440732,-0.0006140597406078598,9.007936507936508e-05,-0.0006111332270234383,8.312301587301587e-05,-0.0006971827564808756,6.956349206349214e-06,8.604952945743735e-05,-0.6899999999989901,-0.779999999999982,0.09000000000099195,17.96000000000103,68.35,-50.38999999999897,-0.0015640793650793612,0.015315422630984569,0.07074626587301587,0.05952552337637084,1.0136623615438687,1.1382170219222607,0.8905703763171282
2024-11-21,2024-11-18,75.0,看多,1.0,2.2702,2.0843,0.0006835596553454095,0.001709530183213548,9.035317460317421e-05,0.0005932064807422353,8.343253968253968e-05,0.0016260976435310084,6.920634920634536e-06,-0.001032891162788773,0.6699999999990047,1.8200000000009875,-1.1500000000019828,18.630000000000035,70.17000000000098,-51.54000000000095,-0.001473726190476187,0.015908629111726805,0.07082969841269841,0.06115162101990185,1.0143552602383623,1.1401628382762843,0.8896582366882613
2024-11-22,2024-11-18,75.0,看多,1.0,2.2745,2.0832,-0.00029075988135240276,0.00018108435784997806,9.00873015873016e-05,-0.00038084718293970437,8.271031746031707e-05,9.8374040389661e-05,7.376984126984527e-06,-0.00047922122332936536,-0.4300000000000137,0.10999999999899979,-0.5399999999990135,18.20000000000002,70.27999999999999,-52.07999999999996,-0.0013836388888888854,0.0155277819287871,0.07091240873015874,0.06124999506029151,1.0140603264232462,1.140369303931698,0.8892385325762705
2024-11-25,2024-11-25,45.0,中性,0.0,2.2586,2.0682,0.0,0.0014242079003459543,0.0,0.0,8.266666666666667e-05,0.0013415412336792876,-8.266666666666667e-05,-0.0013415412336792876,0.0,1.5000000000000082,-1.5000000000000082,18.20000000000002,71.78,-53.57999999999997,-0.0013836388888888854,0.0155277819287871,0.0709950753968254,0.0625915362939708,1.0140603264232462,1.1419934269036696,0.8879738731707999
2024-11-26,2024-11-25,45.0,中性,0.0,2.2452,2.0657,0.0,0.00030583684873358046,0.0,0.0,8.207142857142857e-05,0.00022376542016215188,-8.207142857142857e-05,-0.00022376542016215188,0.0,0.25000000000000716,-0.25000000000000716,18.20000000000002,72.03000000000002,-53.82999999999998,-0.0013836388888888854,0.0155277819287871,0.07107714682539683,0.06281530171413295,1.0140603264232462,1.1423426905746283,0.8877023810719594
2024-11-27,2024-11-25,45.0,中性,0.0,2.2363,2.0553,0.0,0.0010129579342163634,0.0,0.0,8.197222222222221e-05,0.0009309857119941412,-8.197222222222221e-05,-0.0009309857119941412,0.0,1.0399999999999991,-1.0399999999999991,18.20000000000002,73.07000000000002,-54.869999999999976,-0.0013836388888888854,0.0155277819287871,0.07115911904761905,0.06374628742612709,1.0140603264232462,1.14349983566664,0.8868040858371152
2024-11-28,2024-11-25,45.0,中性,0.0,2.2213,2.0304,0.0,0.002311765542618601,0.0,0.0,8.15595238095238e-05,0.0022302060188090773,-8.15595238095238e-05,-0.0022302060188090773,0.0,2.489999999999992,-2.489999999999992,18.20000000000002,75.56000000000002,-57.35999999999997,-0.0013836388888888854,0.0155277819287871,0.07124067857142857,0.06597649344493617,1.0140603264232462,1.146143339184724,0.8847587310890528
2024-11-29,2024-11-25,45.0,中性,0.0,2.203,2.0206,0.0,0.0009594662452893296,0.0,0.0,8.057142857142857e-05,0.0008788948167179011,-8.057142857142857e-05,-0.0008788948167179011,0.0,0.9800000000000086,-0.9800000000000086,18.20000000000002,76.54000000000002,-58.33999999999998,-0.0013836388888888854,0.0155277819287871,0.07132125,0.06685538826165408,1.0140603264232462,1.1472430250309351,0.8839106486578137
2024-12-02,2024-12-02,35.0,中性,0.0,2.1561,1.981,0.0,0.0036334553638408323,0.0,0.0,8.018253968253968e-05,0.0035532728241582925,-8.018253968253968e-05,-0.0035532728241582925,0.0,3.9599999999999707,-3.9599999999999707,18.20000000000002,80.49999999999999,-62.299999999999955,-0.0013836388888888854,0.0155277819287871,0.07140143253968254,0.07040866108581237,1.0140603264232462,1.1514114813538627,0.880710625910109
2024-12-03,2024-12-02,35.0,中性,0.0,2.151,1.9886,0.0,-0.000604744494941028,0.0,0.0,7.861111111111111e-05,-0.0006833556060521391,-7.861111111111111e-05,0.0006833556060521391,0.0,-0.7599999999999968,0.7599999999999968,18.20000000000002,79.74,-61.53999999999996,-0.0013836388888888854,0.0155277819287871,0.07148004365079365,0.06972530547976023,1.0140603264232462,1.150715171599102,0.8812435530975471
