signal_date,周期起始,周期结束,信号产生日期,信号适用开始日期,信号适用结束日期,供给信息截至日期,银行需求取数日期,利差取数日期,非银情绪取数日期,总分_raw,总分,供给模块_利空,需求模块_利空,估值模块_利空,情绪模块_利空,利空模块数,供给或需求利空,供给_发行量_得分,供给_发行量_定性,供给_发行量_原始数据,供给_发行量_二级数据,供给_发行占比_得分,供给_发行占比_定性,供给_发行占比_原始数据,供给_发行占比_二级数据,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_10Y以上发行_原始数据,供给_10Y以上发行_二级数据,供给_发飞惩罚_得分,供给_发飞惩罚_定性,供给_发飞惩罚_原始数据,供给_发飞惩罚_二级数据,银行需求_得分,银行需求_定性,银行需求_原始数据,银行需求_二级数据,利差_地方债国债_得分,利差_地方债国债_定性,利差_地方债国债_原始数据,利差_地方债国债_二级数据,利差_周度变化_得分,利差_周度变化_定性,利差_周度变化_原始数据,利差_周度变化_二级数据,利差_地方债NCD_得分,利差_地方债NCD_定性,利差_地方债NCD_原始数据,利差_地方债NCD_二级数据,非银情绪_得分,非银情绪_定性,非银情绪_原始数据,非银情绪_二级数据,结论,仓位
2022-02-17,2022-02-17,2022-02-17,2022-02-16,2022-02-17,2022-02-17,2022-02-16,2022-02-16,2022-02-16,2022-02-16,67.5,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,2219.9823,73.6986301369863,7.5,中性,0.6491209910647779,65.15580736543909,0.0,利空,1196.8845,84.65753424657534,0.0,中性,未知,,5.0,利多,23.58,95.23809523809524,0.0,中性,31.50999999999997,62.96296296296296,0.0,利空,3.7900000000000023,,5.0,利多,63.93,96.29629629629628,50.0,利多,0.801533,,中性,0.0
2022-02-18,2022-02-18,2022-02-18,2022-02-17,2022-02-18,2022-02-18,2022-02-17,2022-02-17,2022-02-17,2022-02-17,70.0,70.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,利空,2737.6422,85.2054794520548,7.5,中性,0.6952491010991294,74.5042492917847,0.0,利空,1556.0546,93.15068493150685,0.0,中性,未知,,2.5,中性,14.57,72.72727272727273,0.0,中性,30.569999999999983,35.714285714285715,5.0,中性,1.4299999999999995,,5.0,利多,62.06,85.71428571428571,50.0,利多,0.254981,,看多,1.0
2022-02-21,2022-02-21,2022-02-21,2022-02-20,2022-02-21,2022-02-21,2022-02-20,2022-02-18,2022-02-18,2022-02-18,67.5,67.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,利空,2558.1437,79.45205479452055,0.0,利空,0.7617731486594808,78.18696883852692,0.0,利空,1350.7526,88.21917808219179,0.0,中性,未知,,2.5,中性,2.369999999999999,34.78260869565217,0.0,利空,28.29999999999999,3.4482758620689653,10.0,利多,-2.2700000000000387,,5.0,利多,60.04999999999998,75.86206896551724,50.0,利多,0.311585,,中性,0.0
2022-02-22,2022-02-22,2022-02-22,2022-02-21,2022-02-22,2022-02-22,2022-02-21,2022-02-21,2022-02-21,2022-02-21,62.5,62.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,利空,3271.1599,93.15068493150685,0.0,利空,0.803495804721401,85.26912181303116,0.0,利空,1767.8146,94.24657534246576,0.0,中性,未知,,2.5,中性,-7.640000000000001,25.0,0.0,利空,27.51999999999999,0.0,5.0,中性,-1.0299999999999976,,5.0,利多,59.52000000000002,70.0,50.0,利多,0.2134799999999999,,中性,0.0
2022-02-23,2022-02-23,2022-02-23,2022-02-22,2022-02-23,2022-02-23,2022-02-22,2022-02-22,2022-02-22,2022-02-22,62.5,62.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,中性,2280.8649,73.6986301369863,0.0,利空,0.7403326578844787,75.07082152974505,0.0,利空,1167.4751,82.46575342465754,0.0,中性,未知,,2.5,中性,-1.9800000000000004,32.0,0.0,中性,30.7,45.16129032258064,5.0,中性,0.7400000000000091,,5.0,利多,60.69999999999997,83.87096774193549,50.0,利多,0.2653129999999999,,中性,0.0
2022-02-24,2022-02-24,2022-02-24,2022-02-23,2022-02-24,2022-02-24,2022-02-23,2022-02-23,2022-02-23,2022-02-23,57.5,57.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,中性,2112.7549,69.31506849315069,0.0,利空,0.9135230456111014,91.78470254957509,0.0,利空,1142.8351,81.91780821917808,0.0,中性,未知,,2.5,中性,2.129999999999999,38.46153846153847,0.0,中性,33.309999999999995,78.125,0.0,利空,1.8000000000000256,,5.0,利多,60.31,78.125,50.0,利多,0.183154,,中性,0.0
2022-02-25,2022-02-25,2022-02-25,2022-02-24,2022-02-25,2022-02-25,2022-02-24,2022-02-24,2022-02-24,2022-02-24,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,1595.095,54.7945205479452,0.0,利空,0.8885852837872081,90.08498583569406,7.5,中性,783.6649999999997,71.78082191780823,0.0,中性,未知,,2.5,中性,1.0699999999999994,37.03703703703704,0.0,中性,33.44999999999998,78.78787878787878,0.0,利空,2.8799999999999955,,2.5,中性,59.20000000000001,60.60606060606061,50.0,利多,0.149219,,中性,0.0
2022-02-28,2022-02-28,2022-02-28,2022-02-27,2022-02-28,2022-02-28,2022-02-27,2022-02-25,2022-02-25,2022-02-25,20.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,中性,1237.22,43.83561643835616,7.5,中性,0.6734196231262444,67.98866855524079,7.5,中性,657.4399999999997,65.75342465753424,0.0,中性,未知,,2.5,中性,-6.820000000000001,25.0,0.0,利多,34.920000000000016,88.23529411764706,0.0,利空,6.620000000000026,,2.5,中性,59.42000000000003,61.76470588235294,0.0,利空,-0.027697,,中性,0.0
2022-03-01,2022-03-01,2022-03-01,2022-02-28,2022-03-01,2022-03-01,2022-02-28,2022-02-28,2022-02-28,2022-02-28,87.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,利多,0.0,4.657534246575342,15.0,利多,0.0,1.41643059490085,15.0,利多,0.0,10.41095890410959,0.0,中性,未知,,2.5,中性,1.3899999999999988,41.37931034482759,0.0,利多,35.49000000000002,97.14285714285714,0.0,利空,7.970000000000034,,5.0,利多,59.99000000000003,71.42857142857143,50.0,利多,0.0403119999999999,,看多,1.0
2022-03-02,2022-03-02,2022-03-02,2022-03-01,2022-03-02,2022-03-02,2022-03-01,2022-03-01,2022-03-01,2022-03-01,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,利多,419.2269,15.068493150684931,7.5,中性,0.4113185199487957,31.444759206798867,7.5,中性,180.1299999999998,28.21917808219178,0.0,中性,未知,,2.5,中性,5.649999999999999,50.0,0.0,中性,32.91999999999997,66.66666666666666,0.0,利空,2.219999999999977,,2.5,中性,59.66999999999998,69.44444444444444,50.0,利多,0.0601189999999999,,看多,1.0
