signal_date,总分_raw,总分,仓位,结论,情绪|非银情绪_得分,情绪|非银情绪_乘数,情绪|非银情绪变化_得分,情绪|非银情绪变化_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-11-01,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-10-31,2022-10-31,2022-10-31,2022-10-31,897.6814,0.2896885207843314,34.60349999999955,-18.12,26.750000000000007,-0.1912580000000001,89.08,5.65000000000002,-507.8540999999999,9.06,0.051218,-1.6700000000000017,0.500000000000032
2022-11-02,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-01,2022-11-01,2022-11-01,2022-11-01,989.0764,0.3100381533760953,34.60349999999955,-14.659999999999998,25.57999999999998,0.2262819999999999,87.86999999999998,4.50999999999997,91.39499999999998,3.460000000000002,0.41754,-1.2100000000000222,-1.1400000000000503
2022-11-03,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-02,2022-11-02,2022-11-02,2022-11-02,761.2905,0.2277137662361745,34.60349999999955,-9.8,24.290000000000013,0.2307029999999999,88.33000000000001,1.310000000000013,-227.78590000000008,4.859999999999998,0.004421,0.4600000000000364,-3.1999999999999567
2022-11-04,0.0,0.0,0.0,看空,0.0,1.0,0.0,0.0,2022-11-03,2022-11-03,2022-11-03,2022-11-03,765.8237,0.2287595299456761,34.60349999999955,-22.03,25.42,0.1707489999999999,87.67999999999998,2.260000000000016,4.533200000000079,-12.23,-0.059954,-0.6500000000000341,0.9500000000000032
2022-11-07,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-06,2022-11-04,2022-11-04,2022-11-04,932.2869,0.2381814981803754,203.5799999999996,2.0299999999999976,24.03999999999997,0.2253229999999999,85.77,-1.1800000000000497,166.46319999999992,24.06,0.054574,-1.9099999999999824,-3.440000000000066
2022-11-08,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-07,2022-11-07,2022-11-07,2022-11-07,676.556,0.1565864072492694,203.5799999999996,4.499999999999997,23.580000000000023,0.2306529999999999,83.11000000000001,-3.169999999999984,-255.7308999999999,2.47,0.00533,-2.6599999999999824,-1.9899999999999345
2022-11-09,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-08,2022-11-08,2022-11-08,2022-11-08,597.5445,0.1408756674445488,233.8918999999995,-10.6,25.360000000000007,0.4937049999999999,78.39,-0.219999999999974,-79.01150000000007,-15.099999999999998,0.2630519999999999,-4.720000000000013,2.95000000000001
2022-11-10,0.0,0.0,0.0,看空,0.0,1.0,0.0,0.0,2022-11-09,2022-11-09,2022-11-09,2022-11-09,604.0515,0.2400600655379637,261.3988999999996,-16.53,23.89000000000001,0.407921,77.42,-0.4000000000000021,6.507000000000062,-5.9300000000000015,-0.0857839999999999,-0.9699999999999988,-0.180000000000028
2022-11-11,0.0,0.0,0.0,看空,0.0,1.0,0.0,0.0,2022-11-10,2022-11-10,2022-11-10,2022-11-10,599.8383,0.2387854914473237,277.6788999999995,4.589999999999997,24.020000000000017,0.3959069999999999,72.29999999999998,-1.3999999999999808,-4.213200000000029,21.12,-0.012014,-5.120000000000019,-0.9999999999999788
2022-11-14,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-13,2022-11-11,2022-11-11,2022-11-11,514.0513000000001,0.2536957286591251,223.1385999999995,-3.950000000000003,21.890000000000008,-0.115197,65.43,-2.149999999999963,-85.78699999999992,-8.54,-0.5111039999999999,-6.869999999999976,-0.7499999999999822
