实验编号,实验阶段,调整模块,候选参数,供给低分位,供给高分位,需求低分位,需求高分位,地方债国债利差低分位,地方债国债利差高分位,地方债NCD利差低分位,地方债NCD利差高分位,利差周变化阈值_BP,看空总分阈值,看空最少利空模块数,看空要求供给或需求利空,看空连续确认周期数,目标函数,策略累计收益率,基准累计收益率,累计超额收益率,策略年化收益率,策略夏普比率,策略最大回撤,累计资本利得_BP,基准累计资本利得_BP,资本利得超额_BP,资本利得交易胜率,开仓交易总数,已平仓交易数,平均单笔资本利得_BP,平均每笔盈利_BP,最佳交易_BP,最差交易_BP,资本利得最大回撤_BP,未平仓交易数,未平仓浮动资本利得_BP,调仓周期胜率,看空信号数,相对基线变化信号数,策略Carry贡献,策略资本利得贡献,最新总分,最新仓位
利差周变化阈值_±2BP,单模块敏感性,利差周变化阈值,±2BP,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
20/80_x_20/80,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_20/80,20.0,80.0,25.0,75.0,20.0,80.0,35.0,65.0,1.5,30.0,2,0,1,108.79600000000111,0.1275227092547584,0.10161405631123377,0.025908652943524624,0.03697669846501772,1.9241054257200048,-0.011717476437036578,88.45500000000001,65.39499999999947,23.060000000000542,1.0,13,12,6.754166666666669,6.754166666666669,38.760000000000524,0.10500000000000087,-14.659999999999016,1,7.405,0.6428571428571429,17,7,0.043302746031746005,0.07797975704984053,67.5,0.5
15/85_x_20/80,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_20/80,20.0,80.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,2,0,1,108.45050000000134,0.12956634027393643,0.10618064537021366,0.023385694903722776,0.037544932715017465,1.9845051398348021,-0.011717476437037244,90.0150000000005,69.58499999999945,20.430000000001044,1.0,12,11,7.396363636363683,7.396363636363683,39.755000000000514,0.10500000000000087,-14.659999999999016,1,8.655000000000003,0.6488095238095238,15,10,0.04371641071428568,0.07937417126386227,67.5,0.5
供给分位阈值_20/80,单模块敏感性,供给分位阈值,20/80,20.0,80.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,107.81725000000134,0.12369083766544176,0.09842481673505565,0.0252660209303861,0.03590930241241819,1.829882973383977,-0.011717476437037022,84.3800000000005,61.97499999999948,22.405000000001024,1.0,12,11,6.997727272727318,6.997727272727318,37.300000000000516,0.41499999999999876,-14.659999999999016,1,7.405,0.6428571428571429,16,3,0.04338388095238093,0.07449511917754144,67.5,0.5
看空<35_连续2周看空,看空触发条件,总分与确认规则,连续2周看空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,35.0,0,0,2,106.75000000000007,0.13248146848578513,0.10444691076347179,0.028034557722313336,0.03835424828613587,1.963781860154376,-0.0140831656639131,90.04999999999846,65.02999999999895,25.019999999999513,1.0,6,5,13.645999999999697,13.645999999999697,46.58499999999852,1.5050000000004993,-17.514999999999503,1,21.81999999999996,0.6666666666666666,9,14,0.04632761904761902,0.07936236043936767,67.5,0.5
看空<25_连续2周看空,看空触发条件,总分与确认规则,连续2周看空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,25.0,0,0,2,105.15549999999995,0.1320549472090342,0.10805430924591186,0.02400063796312235,0.03823592567900569,1.9334113952877487,-0.01408316566391321,87.51499999999848,66.84499999999946,20.66999999999902,1.0,2,1,5.70499999999948,5.70499999999948,5.70499999999948,5.70499999999948,-17.514999999999503,1,81.80999999999904,0.6904761904761905,3,16,0.048112176587301554,0.07720656515303934,67.5,0.5
看空<30_连续2周看空,看空触发条件,总分与确认规则,连续2周看空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,0,0,2,105.14550000000006,0.13159153141519142,0.10749893322918269,0.02409259818600873,0.03810733279826306,1.9240189430349497,-0.0140831656639131,87.31499999999897,66.52499999999995,20.789999999999026,1.0,3,2,4.284999999999993,4.284999999999993,5.70499999999948,2.8650000000005056,-17.514999999999503,1,78.74499999999905,0.6845238095238095,4,15,0.04787260714285711,0.07703639788971345,67.5,0.5
看空<15_连续2周看空,看空触发条件,总分与确认规则,连续2周看空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,15.0,0,0,2,104.84799999999994,0.13175480666182637,0.10810685041203061,0.023647956249795765,0.03815264410697239,1.9248404432599227,-0.014083165663913322,86.48999999999847,66.22999999999946,20.25999999999901,1.0,2,1,5.70499999999948,5.70499999999948,5.70499999999948,5.70499999999948,-17.514999999999503,1,80.78499999999907,0.6964285714285714,1,18,0.04871974007936505,0.07633431918505015,67.5,0.5
看空<20_连续2周看空,看空触发条件,总分与确认规则,连续2周看空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,20.0,0,0,2,104.84799999999994,0.13175480666182637,0.10810685041203061,0.023647956249795765,0.03815264410697239,1.9248404432599227,-0.014083165663913322,86.48999999999847,66.22999999999946,20.25999999999901,1.0,2,1,5.70499999999948,5.70499999999948,5.70499999999948,5.70499999999948,-17.514999999999503,1,80.78499999999907,0.6964285714285714,1,18,0.04871974007936505,0.07633431918505015,67.5,0.5
25/75_x_25/75,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_25/75,25.0,75.0,25.0,75.0,25.0,75.0,35.0,65.0,1.5,30.0,2,0,1,103.52019230769308,0.13593313891565528,0.10733887285520738,0.028594266060447904,0.03931064534564155,2.1340021155849005,-0.011717476437037244,97.19999999999952,71.46999999999997,25.72999999999955,0.9230769230769231,14,13,6.868846153846118,7.514166666666628,40.69000000000003,-0.8749999999999903,-14.659999999999016,1,7.904999999999996,0.6369047619047619,20,8,0.043094694444444415,0.08561724159746596,67.5,0.5
利差周变化阈值_±1BP,单模块敏感性,利差周变化阈值,±1BP,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,1.0,30.0,0,0,1,103.05894230769273,0.12770879128019152,0.09355556873254733,0.03415322254764419,0.0370284685251947,1.8820369146003417,-0.011717476437036911,87.77499999999847,56.34999999999949,31.42499999999898,0.9230769230769231,14,13,6.088461538461421,7.147499999999874,34.304999999999495,-6.62000000000001,-14.659999999999016,1,8.62499999999999,0.6309523809523809,18,4,0.04397149206349204,0.07748783832024041,67.5,0.5
地方债NCD利差阈值_15/85,单模块敏感性,地方债NCD利差阈值,15/85,25.0,75.0,25.0,75.0,20.0,80.0,15.0,85.0,2.0,30.0,0,0,1,102.19391666666753,0.1292851873557641,0.09696755985495109,0.03231762750081302,0.037466800343284756,1.9258362739417652,-0.011717476437036467,89.12999999999948,59.684999999999484,29.445,0.9166666666666666,13,12,6.708749999999959,7.660909090909047,41.01499999999953,-3.7650000000000006,-14.659999999999016,1,8.62499999999999,0.6369047619047619,17,2,0.044210432539682515,0.0786439502766302,67.5,0.5
地方债NCD利差阈值_20/80,单模块敏感性,地方债NCD利差阈值,20/80,25.0,75.0,25.0,75.0,20.0,80.0,20.0,80.0,2.0,30.0,0,0,1,102.19391666666753,0.1292851873557641,0.09696755985495109,0.03231762750081302,0.037466800343284756,1.9258362739417652,-0.011717476437036467,89.12999999999948,59.684999999999484,29.445,0.9166666666666666,13,12,6.708749999999959,7.660909090909047,41.01499999999953,-3.7650000000000006,-14.659999999999016,1,8.62499999999999,0.6369047619047619,17,2,0.044210432539682515,0.0786439502766302,67.5,0.5
银行需求分位阈值_15/85,单模块敏感性,银行需求分位阈值,15/85,25.0,75.0,15.0,85.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,102.1929423076932,0.12670011527226688,0.0954024349807241,0.031297680291542784,0.03674777237283067,1.875039113415012,-0.011717476437036689,87.0449999999995,58.499999999999474,28.54500000000003,0.9230769230769231,14,13,6.087692307692269,6.908749999999958,34.304999999999495,-3.7650000000000006,-14.659999999999016,1,7.904999999999996,0.6309523809523809,18,2,0.043736746031746,0.0768234132646585,67.5,0.5
地方债国债利差阈值_25/75,单模块敏感性,地方债国债利差阈值,25/75,25.0,75.0,25.0,75.0,25.0,75.0,25.0,75.0,2.0,30.0,0,0,1,102.15666666666765,0.13316735126605028,0.10520477853081989,0.027962572735230395,0.03854445602036183,2.06479118858961,-0.011717476437036578,94.375,69.27499999999999,25.10000000000001,0.9166666666666666,13,12,7.124583333333336,8.10227272727273,39.50500000000003,-3.630000000000004,-14.659999999999016,1,8.88,0.6369047619047619,19,6,0.043025440476190446,0.08324938904343558,67.5,0.5
25/75_x_20/80,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_20/80,20.0,80.0,25.0,75.0,25.0,75.0,35.0,65.0,1.5,30.0,2,0,1,102.1404423076933,0.1327189236971522,0.10774617065605607,0.02497275304109614,0.03842010801380913,2.0870485154175946,-0.011717476437037022,94.77000000000001,72.61499999999997,22.155000000000044,0.9230769230769231,14,13,6.720384615384616,7.353333333333334,38.760000000000524,-0.8749999999999903,-14.659999999999016,1,7.405,0.6369047619047619,20,11,0.04236182539682538,0.08350986124746174,67.5,0.5
银行需求分位阈值_35/65,单模块敏感性,银行需求分位阈值,35/65,25.0,75.0,35.0,65.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,101.88641666666756,0.1282513428761387,0.0965868654490567,0.031664477427082005,0.0371793783254879,1.9032173091382516,-0.011717476437037022,88.3549999999995,59.519999999999484,28.835000000000022,0.9166666666666666,13,12,6.644166666666628,7.4463636363635946,41.01499999999953,-2.179999999999994,-14.659999999999016,1,8.62499999999999,0.6369047619047619,17,2,0.043943081349206325,0.07799501313804676,67.5,0.5
银行需求分位阈值_30/70,单模块敏感性,银行需求分位阈值,30/70,25.0,75.0,30.0,70.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,101.42116666666755,0.1273081658134887,0.09697632665283651,0.030331839160652185,0.036917002730177506,1.8875421731102695,-0.011717476437037022,87.63499999999951,60.08499999999948,27.550000000000026,0.9166666666666666,13,12,6.644166666666628,7.4463636363635946,41.01499999999953,-2.179999999999994,-14.659999999999016,1,7.904999999999996,0.6369047619047619,17,1,0.04375440476190473,0.07734573354011458,67.5,0.5
