信号日期,基线仓位,基线策略资本利得_BP,基线基准资本利得_BP,基线资本利得超额_BP,基线资本利得判断类型,最优仓位,最优策略资本利得_BP,最优资本利得超额_BP,最优资本利得判断类型,仓位是否变化,资本利得判断是否变化,资本利得改善_BP
2022-12-12,0.0,0.0,0.4699999999990127,-0.4699999999990127,低仓少吃,0.0,0.0,-0.4699999999990127,低仓少吃,否,否,0.0
2022-12-19,0.0,0.0,6.050000000000013,-6.050000000000013,低仓少吃,0.0,0.0,-6.050000000000013,低仓少吃,否,否,0.0
2022-12-26,0.0,0.0,-1.0200000000000142,1.0200000000000142,有效防守,0.0,0.0,1.0200000000000142,有效防守,否,否,0.0
2023-01-02,1.0,0.7199999999999913,0.25000000000000705,0.46999999999998426,有效进攻,1.0,0.7199999999999913,0.46999999999998426,有效进攻,否,否,0.0
2023-01-09,0.0,0.0,-6.819999999999014,6.819999999999014,有效防守,0.0,0.0,6.819999999999014,有效防守,否,否,0.0
2023-01-16,0.0,0.0,0.6699999999990045,-0.6699999999990045,低仓少吃,0.0,0.0,-0.6699999999990045,低仓少吃,否,否,0.0
2023-02-06,0.0,0.0,-0.6000000000000103,0.6000000000000103,有效防守,0.0,0.0,0.6000000000000103,有效防守,否,否,0.0
2023-02-13,0.0,0.0,0.8300000000010035,-0.8300000000010035,低仓少吃,0.0,0.0,-0.8300000000010035,低仓少吃,否,否,0.0
2023-02-20,0.0,0.0,-2.0600000000009846,2.0600000000009846,有效防守,0.0,0.0,2.0600000000009846,有效防守,否,否,0.0
2023-02-27,0.0,0.0,0.999999999999994,-0.999999999999994,低仓少吃,0.0,0.0,-0.999999999999994,低仓少吃,否,否,0.0
2023-03-06,0.0,0.0,3.99,-3.99,低仓少吃,0.0,0.0,-3.99,低仓少吃,否,否,0.0
2023-03-13,0.0,0.0,0.25000000000000716,-0.25000000000000716,低仓少吃,0.0,0.0,-0.25000000000000716,低仓少吃,否,否,0.0
2023-03-20,0.0,0.0,-0.7400000000000115,0.7400000000000115,有效防守,0.0,0.0,0.7400000000000115,有效防守,否,否,0.0
2023-03-27,0.0,0.0,1.4800000000009943,-1.4800000000009943,低仓少吃,0.0,0.0,-1.4800000000009943,低仓少吃,否,否,0.0
2023-04-03,0.0,0.0,0.6399999999990095,-0.6399999999990095,低仓少吃,0.0,0.0,-0.6399999999990095,低仓少吃,否,否,0.0
2023-04-10,0.0,0.0,1.8299999999999907,-1.8299999999999907,低仓少吃,0.0,0.0,-1.8299999999999907,低仓少吃,否,否,0.0
2023-04-17,0.0,0.0,0.23000000000002196,-0.23000000000002196,低仓少吃,0.0,0.0,-0.23000000000002196,低仓少吃,否,否,0.0
2023-04-24,0.0,0.0,4.699999999999982,-4.699999999999982,低仓少吃,0.0,0.0,-4.699999999999982,低仓少吃,否,否,0.0
2023-05-01,1.0,2.8500000000010117,4.49999999999999,-1.6499999999989785,有效进攻,1.0,2.8500000000010117,-1.6499999999989785,有效进攻,否,否,0.0
2023-05-08,1.0,3.6099999999989962,2.8000000000000247,0.8099999999989715,有效进攻,1.0,3.6099999999989962,0.8099999999989715,有效进攻,否,否,0.0
2023-05-15,0.0,0.0,-0.9300000000000278,0.9300000000000278,有效防守,0.0,0.0,0.9300000000000278,有效防守,否,否,0.0
2023-05-22,0.0,0.0,-0.5399999999999849,0.5399999999999849,有效防守,0.0,0.0,0.5399999999999849,有效防守,否,否,0.0
2023-05-29,0.0,0.0,2.540000000000007,-2.540000000000007,低仓少吃,0.0,0.0,-2.540000000000007,低仓少吃,否,否,0.0
2023-06-05,0.0,0.0,2.479999999999982,-2.479999999999982,低仓少吃,0.0,0.0,-2.479999999999982,低仓少吃,否,否,0.0
2023-06-12,0.0,0.0,0.7700000000010139,-0.7700000000010139,低仓少吃,0.0,0.0,-0.7700000000010139,低仓少吃,否,否,0.0
2023-06-19,0.0,0.0,-0.7500000000009931,0.7500000000009931,有效防守,0.0,0.0,0.7500000000009931,有效防守,否,否,0.0
2023-06-26,0.0,0.0,3.4999999999999964,-3.4999999999999964,低仓少吃,0.0,0.0,-3.4999999999999964,低仓少吃,否,否,0.0
2023-07-03,0.0,0.0,-0.5199999999999996,0.5199999999999996,有效防守,0.0,0.0,0.5199999999999996,有效防守,否,否,0.0
2023-07-10,1.0,4.409999999998998,-0.4099999999999937,4.819999999998992,其他,1.0,4.409999999998998,4.819999999998992,其他,否,否,0.0
2023-07-17,0.0,0.0,3.6500000000009787,-3.6500000000009787,低仓少吃,0.0,0.0,-3.6500000000009787,低仓少吃,否,否,0.0
2023-07-24,0.0,0.0,-4.540000000001002,4.540000000001002,有效防守,0.0,0.0,4.540000000001002,有效防守,否,否,0.0
2023-07-31,0.0,0.0,0.6400000000000157,-0.6400000000000157,低仓少吃,0.0,0.0,-0.6400000000000157,低仓少吃,否,否,0.0
2023-08-07,0.0,0.0,0.879999999999978,-0.879999999999978,低仓少吃,0.0,0.0,-0.879999999999978,低仓少吃,否,否,0.0
2023-08-14,0.0,0.0,7.420000000000031,-7.420000000000031,低仓少吃,0.0,0.0,-7.420000000000031,低仓少吃,否,否,0.0
2023-08-21,0.0,0.0,-0.6300000000000051,0.6300000000000051,有效防守,0.0,0.0,0.6300000000000051,有效防守,否,否,0.0
2023-08-28,0.0,0.0,-1.4799999999990172,1.4799999999990172,有效防守,0.0,0.0,1.4799999999990172,有效防守,否,否,0.0
2023-09-04,0.0,0.0,-5.250000000000983,5.250000000000983,有效防守,0.0,0.0,5.250000000000983,有效防守,否,否,0.0
2023-09-11,0.0,0.0,-0.2500000000000071,0.2500000000000071,有效防守,0.0,0.0,0.2500000000000071,有效防守,否,否,0.0
2023-09-18,0.0,0.0,-3.760000000000013,3.760000000000013,有效防守,0.0,0.0,3.760000000000013,有效防守,否,否,0.0
2023-09-25,0.0,0.0,0.7400000000000118,-0.7400000000000118,低仓少吃,0.0,0.0,-0.7400000000000118,低仓少吃,否,否,0.0
2023-10-16,0.0,0.0,-3.499999999999996,3.499999999999996,有效防守,0.0,0.0,3.499999999999996,有效防守,否,否,0.0
2023-10-23,0.0,0.0,-0.8099999999990057,0.8099999999990057,有效防守,0.0,0.0,0.8099999999990057,有效防守,否,否,0.0
2023-10-30,0.0,0.0,5.19999999999899,-5.19999999999899,低仓少吃,0.0,0.0,-5.19999999999899,低仓少吃,否,否,0.0
2023-11-06,0.0,0.0,1.6900000000000248,-1.6900000000000248,低仓少吃,0.0,0.0,-1.6900000000000248,低仓少吃,否,否,0.0
2023-11-13,0.0,0.0,-0.8000000000000022,0.8000000000000022,有效防守,0.0,0.0,0.8000000000000022,有效防守,否,否,0.0
2023-11-20,1.0,1.439999999999983,-5.2899999999990115,6.729999999998995,其他,1.0,1.439999999999983,6.729999999998995,其他,否,否,0.0
2023-11-27,1.0,2.4100000000000166,4.279999999999006,-1.8699999999989898,有效进攻,1.0,2.4100000000000166,-1.8699999999989898,有效进攻,否,否,0.0
2023-12-04,0.0,0.0,-0.11000000000000593,0.11000000000000593,有效防守,0.0,0.0,0.11000000000000593,有效防守,否,否,0.0
2023-12-11,1.0,3.4299999999999953,4.089999999999997,-0.6600000000000019,有效进攻,1.0,3.4299999999999953,-0.6600000000000019,有效进攻,否,否,0.0
2023-12-18,1.0,12.370000000000022,10.520000000000008,1.8500000000000139,有效进攻,1.0,12.370000000000022,1.8500000000000139,有效进攻,否,否,0.0
2024-01-08,0.0,0.0,0.029999999999995364,-0.029999999999995364,低仓少吃,0.0,0.0,-0.029999999999995364,低仓少吃,否,否,0.0
2024-01-15,0.0,0.0,1.449999999999993,-1.449999999999993,低仓少吃,0.0,0.0,-1.449999999999993,低仓少吃,否,否,0.0
2024-01-22,0.0,0.0,0.3300000000000178,-0.3300000000000178,低仓少吃,0.0,0.0,-0.3300000000000178,低仓少吃,否,否,0.0
2024-01-29,0.0,0.0,7.500000000000979,-7.500000000000979,低仓少吃,0.0,0.0,-7.500000000000979,低仓少吃,否,否,0.0
2024-02-05,0.0,0.0,2.3499999999990195,-2.3499999999990195,低仓少吃,0.0,0.0,-2.3499999999990195,低仓少吃,否,否,0.0
2024-02-26,0.0,0.0,3.3399999999999763,-3.3399999999999763,低仓少吃,0.0,0.0,-3.3399999999999763,低仓少吃,否,否,0.0
2024-03-04,1.0,7.9299999999999855,8.500000000000002,-0.5700000000000163,有效进攻,1.0,7.9299999999999855,-0.5700000000000163,有效进攻,否,否,0.0
2024-03-11,0.0,0.0,-3.7499999999999685,3.7499999999999685,有效防守,0.0,0.0,3.7499999999999685,有效防守,否,否,0.0
2024-03-18,0.0,0.0,1.489999999999998,-1.489999999999998,低仓少吃,0.0,0.0,-1.489999999999998,低仓少吃,否,否,0.0
2024-03-25,0.0,0.0,1.5000000000009797,-1.5000000000009797,低仓少吃,0.0,0.0,-1.5000000000009797,低仓少吃,否,否,0.0
2024-04-01,0.0,0.0,0.6399999999990095,-0.6399999999990095,低仓少吃,0.0,0.0,-0.6399999999990095,低仓少吃,否,否,0.0
2024-04-08,1.0,3.019999999998996,1.1102230246251565e-16,3.019999999998996,有效进攻,1.0,3.019999999998996,3.019999999998996,有效进攻,否,否,0.0
2024-04-15,1.0,3.4900000000000206,2.9699999999999864,0.5200000000000342,有效进攻,1.0,3.4900000000000206,0.5200000000000342,有效进攻,否,否,0.0
2024-04-22,1.0,0.9299999999999935,-5.439999999998987,6.3699999999989805,其他,1.0,0.9299999999999935,6.3699999999989805,其他,否,否,0.0
2024-04-29,1.0,-0.009999999999004139,0.5599999999989986,-0.5699999999980028,其他,1.0,-0.009999999999004139,-0.5699999999980028,其他,否,否,0.0
2024-05-06,0.0,0.0,-0.9399999999989973,0.9399999999989973,有效防守,0.0,0.0,0.9399999999989973,有效防守,否,否,0.0
2024-05-13,1.0,3.1500000000009996,0.44999999999899276,2.7000000000020066,有效进攻,1.0,3.1500000000009996,2.7000000000020066,有效进攻,否,否,0.0
2024-05-20,0.0,0.0,-0.5699999999999802,0.5699999999999802,有效防守,0.0,0.0,0.5699999999999802,有效防守,否,否,0.0
2024-05-27,0.0,0.0,2.0799999999999983,-2.0799999999999983,低仓少吃,0.0,0.0,-2.0799999999999983,低仓少吃,否,否,0.0
2024-06-03,0.0,0.0,0.9299999999999934,-0.9299999999999934,低仓少吃,0.0,0.0,-0.9299999999999934,低仓少吃,否,否,0.0
2024-06-10,1.0,2.8300000000000196,2.7500000000009805,0.07999999999903906,有效进攻,1.0,2.8300000000000196,0.07999999999903906,有效进攻,否,否,0.0
2024-06-17,0.0,0.0,-0.12999999999999123,0.12999999999999123,有效防守,0.0,0.0,0.12999999999999123,有效防守,否,否,0.0
2024-06-24,0.0,0.0,5.129999999998989,-5.129999999998989,低仓少吃,0.0,0.0,-5.129999999998989,低仓少吃,否,否,0.0
2024-07-01,0.0,0.0,-6.959999999999987,6.959999999999987,有效防守,0.0,0.0,6.959999999999987,有效防守,否,否,0.0
2024-07-08,0.0,0.0,1.5000000000000087,-1.5000000000000087,低仓少吃,0.0,0.0,-1.5000000000000087,低仓少吃,否,否,0.0
2024-07-15,0.0,0.0,-0.09999999999999598,0.09999999999999598,有效防守,0.0,0.0,0.09999999999999598,有效防守,否,否,0.0
2024-07-22,1.0,3.9800000000009965,6.700000000000976,-2.7199999999999798,有效进攻,1.0,3.9800000000009965,-2.7199999999999798,有效进攻,否,否,0.0
2024-07-29,0.0,0.0,6.669999999999003,-6.669999999999003,低仓少吃,0.0,0.0,-6.669999999999003,低仓少吃,否,否,0.0
2024-08-05,0.0,0.0,-7.0899999999999785,7.0899999999999785,有效防守,0.0,0.0,7.0899999999999785,有效防守,否,否,0.0
2024-08-12,0.0,0.0,0.07999999999997587,-0.07999999999997587,低仓少吃,0.0,0.0,-0.07999999999997587,低仓少吃,否,否,0.0
2024-08-19,0.0,0.0,4.3100000000000085,-4.3100000000000085,低仓少吃,0.0,0.0,-4.3100000000000085,低仓少吃,否,否,0.0
2024-08-26,0.0,0.0,-1.569999999999003,1.569999999999003,有效防守,0.0,0.0,1.569999999999003,有效防守,否,否,0.0
2024-09-02,0.0,0.0,3.1600000000000024,-3.1600000000000024,低仓少吃,0.0,0.0,-3.1600000000000024,低仓少吃,否,否,0.0
2024-09-09,0.0,0.0,6.639999999999008,-6.639999999999008,低仓少吃,0.0,0.0,-6.639999999999008,低仓少吃,否,否,0.0
2024-09-16,0.0,0.0,2.9300000000009874,-2.9300000000009874,低仓少吃,0.0,0.0,-2.9300000000009874,低仓少吃,否,否,0.0
2024-09-23,0.0,0.0,-12.830000000001,12.830000000001,有效防守,0.0,0.0,12.830000000001,有效防守,否,否,0.0
2024-09-30,0.0,0.0,1.9600000000000173,-1.9600000000000173,低仓少吃,0.0,0.0,-1.9600000000000173,低仓少吃,否,否,0.0
2024-10-07,0.0,0.0,1.259999999999976,-1.259999999999976,低仓少吃,0.0,0.0,-1.259999999999976,低仓少吃,否,否,0.0
2024-10-14,1.0,4.270000000000003,1.830000000000026,2.4399999999999773,有效进攻,1.0,4.270000000000003,2.4399999999999773,有效进攻,否,否,0.0
2024-10-21,0.0,0.0,-3.3000000000000043,3.3000000000000043,有效防守,0.0,0.0,3.3000000000000043,有效防守,否,否,0.0
2024-10-28,0.0,0.0,1.329999999999977,-1.329999999999977,低仓少吃,0.0,0.0,-1.329999999999977,低仓少吃,否,否,0.0
2024-11-04,0.0,0.0,3.3900000000000254,-3.3900000000000254,低仓少吃,0.0,0.0,-3.3900000000000254,低仓少吃,否,否,0.0
2024-11-11,1.0,1.299999999999982,1.189999999999976,0.11000000000000609,有效进攻,1.0,1.299999999999982,0.11000000000000609,有效进攻,否,否,0.0
2024-11-18,0.0,0.0,1.1600000000000152,-1.1600000000000152,低仓少吃,0.0,0.0,-1.1600000000000152,低仓少吃,否,否,0.0
2024-11-25,0.0,0.0,6.260000000000015,-6.260000000000015,低仓少吃,0.0,0.0,-6.260000000000015,低仓少吃,否,否,0.0
2024-12-02,0.0,0.0,6.669999999999974,-6.669999999999974,低仓少吃,0.0,0.0,-6.669999999999974,低仓少吃,否,否,0.0
2024-12-09,0.0,0.0,17.680000000000025,-17.680000000000025,低仓少吃,0.0,0.0,-17.680000000000025,低仓少吃,否,否,0.0
2024-12-16,0.0,0.0,7.530000000000002,-7.530000000000002,低仓少吃,0.0,0.0,-7.530000000000002,低仓少吃,否,否,0.0
2024-12-23,0.0,0.0,9.769999999999985,-9.769999999999985,低仓少吃,0.0,0.0,-9.769999999999985,低仓少吃,否,否,0.0
2025-01-06,0.0,0.0,-2.9699999999999864,2.9699999999999864,有效防守,0.0,0.0,2.9699999999999864,有效防守,否,否,0.0
2025-01-13,0.0,0.0,-2.5500000000000176,2.5500000000000176,有效防守,0.0,0.0,2.5500000000000176,有效防守,否,否,0.0
2025-01-20,0.0,0.0,0.28000000000000247,-0.28000000000000247,低仓少吃,0.0,0.0,-0.28000000000000247,低仓少吃,否,否,0.0
2025-01-27,0.0,0.0,2.660000000000995,-2.660000000000995,低仓少吃,0.0,0.0,-2.660000000000995,低仓少吃,否,否,0.0
2025-02-03,0.0,0.0,2.6699999999989927,-2.6699999999989927,低仓少吃,0.0,0.0,-2.6699999999989927,低仓少吃,否,否,0.0
2025-02-10,0.0,0.0,-5.140000000000006,5.140000000000006,有效防守,0.0,0.0,5.140000000000006,有效防守,否,否,0.0
2025-02-17,0.0,0.0,-6.539999999999983,6.539999999999983,有效防守,0.0,0.0,6.539999999999983,有效防守,否,否,0.0
2025-02-24,0.0,0.0,0.47999999999999376,-0.47999999999999376,低仓少吃,0.0,0.0,-0.47999999999999376,低仓少吃,否,否,0.0
2025-03-03,0.0,0.0,-8.5,8.5,有效防守,0.0,0.0,8.5,有效防守,否,否,0.0
2025-03-10,0.0,0.0,-3.1499999999999946,3.1499999999999946,有效防守,0.0,0.0,3.1499999999999946,有效防守,否,否,0.0
2025-03-17,0.0,0.0,-1.409999999999988,1.409999999999988,有效防守,0.0,0.0,1.409999999999988,有效防守,否,否,0.0
2025-03-24,0.0,0.0,3.3199999999999896,-3.3199999999999896,低仓少吃,0.0,0.0,-3.3199999999999896,低仓少吃,否,否,0.0
2025-03-31,0.0,0.0,9.45999999999999,-9.45999999999999,低仓少吃,0.0,0.0,-9.45999999999999,低仓少吃,否,否,0.0
2025-04-07,0.0,0.0,6.120000000000014,-6.120000000000014,低仓少吃,0.0,0.0,-6.120000000000014,低仓少吃,否,否,0.0
2025-04-14,0.0,0.0,0.7499999999999869,-0.7499999999999869,低仓少吃,0.0,0.0,-0.7499999999999869,低仓少吃,否,否,0.0
