信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,情绪|非银情绪_得分
2023-07-24,2023-07-31,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0
2023-07-31,2023-08-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
2023-08-07,2023-08-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2023-08-14,2023-08-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,30.0
2023-08-21,2023-08-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,17.5,0.0,30.0
2023-08-28,2023-09-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,17.5,0.0,30.0
2023-09-04,2023-09-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2023-09-11,2023-09-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,0.0,17.5,0.0,0.0
2023-09-18,2023-09-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,0.0
2023-09-25,2023-10-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,0.0,0.0,0.0,17.5,0.0,30.0
2023-10-16,2023-10-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2023-10-23,2023-10-30,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2023-10-30,2023-11-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,0.0
2023-11-06,2023-11-13,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2023-11-13,2023-11-20,1.0,看多,0.00012684054119249666,-0.00016981049523512315,0.0002966510364276198,0.0005970873015871,-0.00046953666626870004,-0.5499999999999949,-0.8000000000000022,0.2500000000000072,否,其他,否,否,其他,2.5,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2023-11-20,2023-11-27,1.0,看多,0.0018232893015637242,-0.004052770345616241,0.005876059647179965,0.0005971428571427,0.001227036125090387,1.4399999999999828,-5.2899999999990115,6.729999999998994,是,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,35.0,0.0,30.0
2023-11-27,2023-12-04,1.0,看多,0.0026414334586581933,0.004248520328899774,-0.0016070868702415808,0.0005969007936505,0.0020517386655877004,2.4100000000000166,4.279999999999006,-1.8699999999989898,是,有效进攻,是,否,有效进攻,5.0,0.0,30.0,0.0,0.0,35.0,0.0,30.0
2023-12-04,2023-12-11,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2023-12-11,2023-12-18,1.0,看多,0.0035228960588860048,0.004078593438047173,-0.0005556973791611686,0.0005841468253967,0.0029344881915711,3.4299999999999953,4.089999999999996,-0.660000000000001,是,有效进攻,是,否,有效进攻,5.0,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2023-12-18,2024-01-08,1.0,看多,0.012283046613122517,0.010643117247999712,0.0016399293651228053,0.0015925079365073998,0.010624663730204098,12.370000000000022,10.520000000000008,1.8500000000000139,是,有效进攻,是,否,有效进攻,5.0,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2024-01-08,2024-01-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,17.5,0.0,0.0
2024-01-15,2024-01-22,1.0,看多,0.00358465169329536,0.0017984788899900739,0.001786172803305286,0.00043905555555539996,0.0031420969145536,3.6400000000009687,1.6000000000000043,2.0400000000009646,是,有效进攻,是,否,有效进攻,,,,,,,,
2024-01-22,2024-01-29,1.0,看多,0.0017080742578532426,0.0007833947225845961,0.0009246795352686465,0.0005400793650792,0.0011675481120831,1.3499999999989911,0.33000000000001806,1.019999999998973,是,有效进攻,是,否,有效进攻,,,,,,,,
2024-01-29,2024-02-05,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-02-05,2024-02-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-02-26,2024-03-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-03-04,2024-03-11,1.0,看多,0.007443758723061578,0.00797112683808554,-0.0005273681150239629,0.0005062460317459301,0.0069181086504584,7.9299999999999855,8.5,-0.5700000000000145,是,有效进攻,是,否,有效进攻,,,,,,,,
2024-03-11,2024-03-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-03-18,2024-03-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-03-25,2024-04-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-04-01,2024-04-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-04-08,2024-04-15,1.0,看多,0.0031421366590904665,0.000451423433375453,0.0026907132257150135,0.0004962063492063484,0.0026429324119431,3.019999999998996,-1.1102230246251565e-16,3.019999999998996,是,其他,是,否,有效进攻,,,,,,,,
2024-04-15,2024-04-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-04-22,2024-04-29,1.0,看多,0.001282164211342085,-0.004389574886847991,0.005671739098190076,0.0004802817460317456,0.000810806638689,0.9299999999999935,-5.439999999998987,6.3699999999989805,是,其他,否,否,其他,,,,,,,,
