日期,基煜纯债基金净申购情况_日度原始值
2023-09-01,-0.03723
2023-09-04,-0.228994
2023-09-05,-0.056918
2023-09-06,-0.05746
2023-09-07,-0.311035
2023-09-08,-0.191965
2023-09-11,-0.391022
2023-09-12,-0.108515
2023-09-13,0.311527
2023-09-14,0.071761
2023-09-15,0.062614
2023-09-18,-0.035218
2023-09-19,0.03086
2023-09-20,0.081879
2023-09-21,0.073316
2023-09-22,0.046503
2023-09-25,0.093753
2023-09-26,0.097694
2023-09-27,0.045559
2023-09-28,0.000885
2023-10-09,-0.108848
2023-10-10,-0.062446
2023-10-11,-0.021659
2023-10-12,0.045387
2023-10-13,0.000835
2023-10-16,0.020725
2023-10-17,-0.041146
2023-10-18,-0.041894
2023-10-19,-0.211635
2023-10-20,0.083547
2023-10-23,-0.091101
2023-10-24,-0.098478
2023-10-25,0.035551
2023-10-26,0.022819
2023-10-27,0.027214
2023-10-30,-0.044871
2023-10-31,-0.047445
2023-11-01,0.005748
2023-11-02,-0.018104
2023-11-03,0.078787
2023-11-06,-0.061668
2023-11-07,0.227206
2023-11-08,-0.000132
2023-11-09,0.06988
2023-11-10,0.036827
2023-11-13,0.010234
2023-11-14,0.063571
2023-11-15,0.076287
2023-11-16,0.012265
2023-11-17,0.03365
2023-11-20,0.005695
2023-11-21,0.188597
2023-11-22,0.110658
2023-11-23,-0.030511
2023-11-24,0.007843
2023-11-27,-0.012478
2023-11-28,-0.073271
2023-11-29,-0.033697
2023-11-30,0.005116
2023-12-01,0.032557
2023-12-04,0.039265
2023-12-05,0.05063
2023-12-06,0.039087
2023-12-07,0.056396
2023-12-08,0.022696
2023-12-11,-0.060351
2023-12-12,0.207787
2023-12-13,-0.011777
2023-12-14,0.052473
2023-12-15,0.010952
2023-12-18,-0.091257
2023-12-19,0.053753
2023-12-20,0.02187
2023-12-21,0.036357
2023-12-22,-0.041646
2023-12-25,-0.082782
2023-12-26,0.007474
2023-12-27,0.338877
2023-12-28,0.228179
2023-12-29,0.003263
2024-01-02,-0.010345
2024-01-03,-0.247688
2024-01-04,0.061356
2024-01-05,0.05401
2024-01-08,-0.013583
2024-01-09,0.020732
2024-01-10,-0.079781
2024-01-11,-0.058587
2024-01-12,-0.015149
2024-01-15,-0.025554
2024-01-16,-0.002844
2024-01-17,0.056932
2024-01-18,0.050042
2024-01-19,-0.05313
2024-01-22,-0.007531
2024-01-23,-0.023318
2024-01-24,0.032833
2024-01-25,-0.04623
2024-01-26,0.024758
2024-01-29,-0.000322
2024-01-30,-0.015016
2024-01-31,0.057125
2024-02-01,0.027856
2024-02-02,0.030502
2024-02-05,-0.063208
2024-02-06,0.016853
2024-02-07,0.009101
2024-02-08,-0.003203
2024-02-19,-0.014295
2024-02-20,0.051906
2024-02-21,0.009351
2024-02-22,0.057419
2024-02-23,0.081457
2024-02-26,0.037415
2024-02-27,0.320458
2024-02-28,0.080792
2024-02-29,0.053039
2024-03-01,-0.00484
2024-03-04,0.009687
2024-03-05,0.00507
2024-03-06,0.054676
2024-03-07,-0.083937
2024-03-08,0.079597
2024-03-11,0.040674
2024-03-12,-0.00111
2024-03-13,-0.088144
2024-03-14,-0.005056
2024-03-15,6.5e-05
2024-03-18,-0.019497
2024-03-19,0.088639
2024-03-20,0.010609
2024-03-21,0.037238
2024-03-22,-0.066432
2024-03-25,-0.073159
2024-03-26,0.008037
2024-03-27,-0.022725
2024-03-28,0.092514
2024-03-29,-0.039673
2024-04-01,-0.102691
2024-04-02,0.07393
2024-04-03,0.035217
2024-04-08,0.005294
2024-04-09,0.054966
2024-04-10,0.083713
2024-04-11,0.181237
2024-04-12,0.186473
2024-04-15,0.226381
2024-04-16,0.058165
2024-04-17,0.420338
2024-04-18,0.246118
2024-04-19,0.360004
2024-04-22,0.129329
2024-04-23,0.064145
2024-04-24,-0.023526
2024-04-25,-0.029426
2024-04-26,-0.112357
2024-04-29,-0.252245
2024-04-30,-0.004363
2024-05-06,-0.034425
2024-05-07,0.008329
2024-05-08,0.086178
2024-05-09,0.029217
2024-05-10,-0.040041
2024-05-13,-0.153614
2024-05-14,0.084978
2024-05-15,-0.012046
2024-05-16,-0.037103
2024-05-17,0.007291
2024-05-20,0.048336
2024-05-21,-0.085597
2024-05-22,0.000864
2024-05-23,0.038732
2024-05-24,0.028256
2024-05-27,0.026265
2024-05-28,-0.202957
2024-05-29,0.058642
2024-05-30,0.059811
2024-05-31,0.019329
2024-06-03,0.162507
2024-06-04,0.130299
2024-06-05,0.027104
2024-06-06,0.041136
2024-06-07,0.051966
2024-06-11,-0.135998
2024-06-12,0.002647
2024-06-13,0.107094
2024-06-14,0.021654
2024-06-17,-0.006227
2024-06-18,0.110841
2024-06-19,0.002945
2024-06-20,0.022916
2024-06-21,0.005965
2024-06-24,-0.060061
2024-06-25,-0.355127
2024-06-26,0.179072
2024-06-27,0.354281
2024-06-28,0.043766
2024-07-01,-0.2858
2024-07-02,-0.110365
2024-07-03,-0.043793
2024-07-04,0.090645
2024-07-05,-0.105946
2024-07-08,-0.048916
2024-07-09,-0.017208
2024-07-10,0.015353
2024-07-11,0.018664
2024-07-12,0.078167
2024-07-15,-0.150935
2024-07-16,0.073979
2024-07-17,0.045527
2024-07-18,0.047387
2024-07-19,0.034242
2024-07-22,0.12134
2024-07-23,0.143858
2024-07-24,-0.020456
2024-07-25,0.095787
2024-07-26,0.154702
2024-07-29,0.014
2024-07-30,0.038034
2024-07-31,0.030436
2024-08-01,0.009929
2024-08-02,0.091835
2024-08-05,0.202905
2024-08-06,0.068132
2024-08-07,0.096333
2024-08-08,0.138596
2024-08-09,-0.01865
2024-08-12,-0.449922
2024-08-13,-0.174973
2024-08-14,0.081606
2024-08-15,0.00732
2024-08-16,0.039171
2024-08-19,-0.236699
2024-08-20,0.018303
2024-08-21,-0.061643
2024-08-22,-0.037705
2024-08-23,-0.006969
2024-08-26,-0.505105
2024-08-27,-0.719369
2024-08-28,-0.503512
2024-08-29,0.113394
2024-08-30,0.027415
2024-09-02,-0.056255
2024-09-03,0.019714
2024-09-04,0.025938
2024-09-05,0.023405
2024-09-06,-0.082152
2024-09-09,-0.023908
2024-09-10,-0.084487
2024-09-11,0.035903
2024-09-12,0.037326
2024-09-13,0.060124
2024-09-18,0.119947
2024-09-19,0.070427
2024-09-20,0.038709
2024-09-23,-0.116728
2024-09-24,-0.12773
2024-09-25,-0.086342
2024-09-26,0.068061
2024-09-27,-0.428247
2024-09-30,-0.713753
2024-10-08,-0.895063
2024-10-09,-0.668531
2024-10-10,0.041341
