信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,供给|发行量变化_得分,需求|银行总净买入变化_得分,估值|地方债-NCD利差变化_得分,估值|地方债-国债利差变化加速度_得分,供需交互|供给×银行承接_得分,供需交互|供给×非银承接_得分
2022-03-21,2022-03-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,20.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-22,2022-03-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-23,2022-03-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,2.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2022-03-24,2022-03-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-25,2022-03-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-28,2022-03-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-29,2022-03-30,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-30,2022-03-31,1.0,看多,0.0005482981804485476,0.0014041930262373992,-0.0008558948457888516,0.0001250753968253,0.0004232227836231,0.5000000000000143,1.5000000000000082,-0.9999999999999939,是,有效进攻,是,否,有效进攻,45.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-31,2022-04-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-04-01,2022-04-02,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,45.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-07,1.0,看多,0.00033583099832545926,0.0013095645949208201,-0.0009737335965953609,0.0001239007936507,0.0002119302046746,0.2500000000000071,1.3900000000000023,-1.1399999999999952,是,有效进攻,是,否,有效进攻,45.0,5.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
